Chinese Balloon;knuckles/3|gruntilda/11|banjo/1
Player 2;sonic/2
bad at videogames;aosthrobotnik/84|aniki/71|motobug/5|tails/4|brownbricks/1|scratch/1|earthworm_jim/1|grotesquesteve/1|coldsteel/34
Rim Jobless;eggr/1|metalsonic/1|goku/1|sonic/1|flonne/856
Video Games;ditto/6|spamtonneo/9|porkyminch/20|cptfalcon/16|kermitthefrog/6|demi-fiend/2|thwomp/17|peppino/63|pepsiman/4|kingdeedeedee/30|dantekrt/30|slds/2|acrid/93|pingu/7|jevil/12|homestarrunner/3|mk64mario/4|morshu/2|slimeterraria/4|wheelierider/13|mmvolnutt/7|irongiant/21|kingofthecosmos/5|knight/8|beavis/1|moai/8|victor/16|hornets/3|marge/2|sparkster/4|blitztank/4|dave/7|hank/6|sonic/2|drybonerc/3|baba/7|plague/5|sega_bass_fishin/25|drlivesey/3|johnward/16|superluigi/38|crashbandicoot/4|atomic_bomberman/11
SAKK;peppino/26|caterkiller/641|sonic/3|princevegeta/1
BighitDarmaka;youmukonpaku/16|sdhornet/1|okuu/1|hotel/2
pyo;nanachi/86|arle/10|superluigi/4|cream/6|omega/28|rena/1
Vin;bandana_dee/1|knuckles/1|madotsuki/18|darkmetaknight/2
Steve Balls;goku/1|thwomp/1|grotesquesteve/7|issac/4|helper/1|peppino/284|boomer/11|mithrix/9|plague/4|sonic/1|flonne/1|sue/17|acrid/9|madotsuki/22|lww_wario/6|johnward/8|jevil/15|raymanorigins/7|atomic_bomberman/38
CHUD;slimeterraria/5|shadow/1|boomer/29|goku/1|hotel/1|okuu/34|grotesquesteve/1|yiik/20|moai/26|plague/5
Coggert;shadow/1|princevegeta/1|lowtiergod/21|klonoa_lunatea/1|reankart/88|sksonic/15|doomimp/1|courage/265|blitztank/3|dave/3|rena/146
big man;aniki/3|linne/1|pepsiman/2|sonic/1|moai/12
Jobbington;flonne/10|aniki/104
MaybeNotLast;brownbricks/2|peppino/15|princevegeta/1|beat/842|superhangon/8|sdhornet/1|sonic/1|flonne/16
feely;heady/3|prinny/8|blitztank/31|darkmetaknight/1|mothmansmt/1|sega_bass_fishin/2|etna/3|arrowhead/1|flipnote-frog/89|pleinair/2|cacodemon/1|sketchfox/1|brownbricks/1|grotesquesteve/1|frog_in_a_car/3
BingBingWahoo;mk64mario/82
Toroko;klonoa_lunatea/542|shadow/1|princevegeta/1|quote/1
donk_konk;earthworm_jim/65|shadow/1|princevegeta/1|porkyminch/172|mona/40|918volt/38|curlybrace/10|thwomp/37|annoyingdog/34|waluigibike/158|peppino/4|ashley/4|gruntilda/4|drlivesey/6|lww_wario/5|madonna/97|maria/272|carb/16|frog_in_a_car/50
