THE HUMAN SPIRIT;34;11;80;12;57;8;9;9;1;1774;1503;1500;1500;1500;1783;1503;1500;1500;1500;1500;1500
Soggogogogo;21;0;84;8;66;7;4;2;1;1778;1500;1500;1500;1500;1778;1500;1500;1500;1500;1500;1500
Soggy;2011;123;6249;771;5694;960;360;188;205;1938;1796;1546;1500;1374;2090;1868;1628;1500;1524;1500;1500
Shanpotato;85;2;86;22;129;27;3;2;5;1416;1275;1500;1500;1500;1416;1275;1500;1500;1500;1500;1500
HNTR;2;2;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Mustard;13;2;16;5;15;3;0;4;0;1500;1684;1649;1500;1500;1500;1684;1649;1500;1500;1500;1500
POOPOOY;8;0;3;15;24;1;0;0;0;1309;1500;1500;1500;1500;1309;1500;1500;1500;1500;1500;1500
Jobmage;2;0;1;0;1;1;0;0;0;1500;1417;1500;1500;1500;1500;1417;1500;1500;1500;1500;1500
Histy;122;61;39;48;102;25;6;0;0;1196;969;1259;1500;1500;1196;969;1259;1500;1500;1500;1500
the real randvids153;11;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Kraby;9;9;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
aaa;9;0;0;4;16;0;0;0;0;1267;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Video Games;1377;94;3621;463;3672;648;233;119;158;1827;1828;1743;1500;1620;2049;1880;1775;1500;1663;1500;1500
Mr. Hands;16;0;31;4;23;5;1;0;0;1242;1334;1500;1500;1500;1242;1334;1500;1500;1500;1500;1500
Yeor Ugleh;8;6;2;2;4;0;0;0;0;1462;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
REGU;86;6;175;25;206;32;8;5;7;1570;1500;1500;1500;1500;1570;1500;1500;1500;1500;1500;1500
Joshua Moon;237;45;485;83;457;85;18;59;41;1838;1536;1551;1500;1415;2016;1539;1582;1500;1640;1500;1500
Don't BBC Post;0;0;1;0;4;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
histy;24;3;5;3;8;1;1;0;0;1410;1500;1479;1500;1500;1410;1500;1479;1500;1500;1500;1500
Zneed;43;1;47;18;69;16;5;1;6;1147;1500;1500;1500;1500;1147;1500;1500;1500;1500;1500;1500
blonded;1459;292;4035;477;3298;539;214;231;189;1988;1807;1717;1500;1664;2103;1980;1733;1500;1767;1500;1500
Dingus;1108;42;2642;309;2448;458;191;52;49;1393;1518;1304;1500;1399;1756;1523;1480;1500;1539;1500;1500
Serium;84;2;52;26;107;6;1;1;0;980;1419;1500;1500;1500;980;1419;1500;1500;1500;1500;1500
NVJR KILLER;22;0;69;5;44;8;3;3;4;1522;1825;1552;1500;1500;1522;1825;1552;1500;1500;1500;1500
Sneed;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Azazel From Helltaker;32;9;64;16;56;19;4;1;0;1551;1421;1459;1500;1500;1551;1421;1459;1500;1500;1500;1500
sped;17;0;43;3;21;3;0;0;0;1254;1500;1465;1500;1500;1254;1500;1465;1500;1500;1500;1500
